i,j,mocoeff
0,0,  4.703724058258e-03
0,1,  8.089385726357e-03
0,2,  4.209252022541e-01
0,3,  4.284667283382e-01
0,4,  2.890859672644e-01
0,5,  3.042710162779e-01
0,6, -2.716863487962e-01
0,7, -2.595145097156e-01
0,8,  4.094902090825e-01
0,9,  3.982481771528e-01
0,10, -7.125922480593e-03
0,11, -1.243281028227e-02
0,12, -6.026124341303e-03
0,13, -1.256002141039e-02
0,14, -7.945238367009e-03
0,15,  6.905260167955e-03
0,16, -8.061324729373e-03
0,17,  6.335331949545e-04
0,18,  6.844237216910e-03
0,19, -1.619415515040e-03
0,20, -2.271617359087e-03
0,21,  2.939681304801e-03
0,22, -8.102479993928e-04
0,23, -3.745502400640e-04
0,24,  9.685575532360e-04
0,25, -2.957385971631e-03
0,26, -6.011279869584e-04
0,27,  1.747478908396e-03
0,28, -9.839651378655e-04
0,29,  0.000000000000e+00
0,30,  0.000000000000e+00
0,31,  0.000000000000e+00
0,32,  0.000000000000e+00
0,33,  0.000000000000e+00
0,34,  0.000000000000e+00
0,35,  0.000000000000e+00
0,36,  0.000000000000e+00
0,37,  0.000000000000e+00
0,38,  0.000000000000e+00
0,39,  1.986528644431e-02
0,40,  2.085757203140e-02
0,41,  1.740766786530e-02
0,42, -1.092501836643e-02
0,43, -1.103213492756e-02
0,44,  9.974601847156e-04
0,45, -1.255184893375e-02
0,46, -2.567200261023e-02
0,47, -3.631718798368e-02
0,48, -9.198060249283e-03
0,49,  1.602269131453e-02
0,50, -5.936690327025e-03
0,51,  2.672675503312e-02
0,52,  2.955668155919e-02
0,53, -3.360108926280e-03
0,54, -1.634169270932e-02
0,55,  1.838232617874e-02
0,56,  2.429860253323e-02
0,57,  0.000000000000e+00
0,58, -3.429170072092e-02
0,59,  1.191054186546e-01
0,60,  7.081818855619e-02
0,61,  0.000000000000e+00
0,62, -2.396206157591e-02
0,63,  0.000000000000e+00
0,64, -1.727614881917e-01
0,65, -4.788981268757e-02
0,66,  2.839158089179e-02
0,67,  1.292701802741e-01
0,68, -4.648990331065e-02
0,69, -4.298146460963e-02
0,70,  0.000000000000e+00
0,71,  0.000000000000e+00
0,72, -5.416826026930e-02
0,73,  0.000000000000e+00
0,74,  0.000000000000e+00
0,75,  0.000000000000e+00
0,76, -1.983312065492e-02
0,77,  6.038564455419e-02
0,78, -1.003917011452e-01
0,79, -5.200880281858e-03
0,80,  0.000000000000e+00
0,81, -3.739728669998e-02
0,82, -1.535208749712e-01
0,83,  4.957288178805e-02
0,84,  1.367605085926e-02
0,85,  0.000000000000e+00
0,86,  0.000000000000e+00
0,87, -2.809184637113e-02
0,88,  0.000000000000e+00
0,89,  1.154428075124e-01
0,90,  2.269309329370e-01
0,91, -2.500156088969e-01
0,92, -2.203242628222e-01
0,93,  3.210752087462e-01
0,94,  0.000000000000e+00
0,95,  1.991638886592e-01
0,96,  7.546456733717e-02
0,97,  0.000000000000e+00
